Date;Sum_Produce;Type
2012-3;25151525.84;Actual
2012-4;24406048.39;Actual
2012-5;28249539.01;Actual
2012-6;28691364.32;Actual
2012-7;28535707.45;Actual
2012-8;25793520.64;Actual
2012-9;21915641.66;Actual
2012-10;21203562.52;Actual
2012-11;21736158.96;Actual
2012-12;21962976.75;Actual
2013-1;20322683.64;Actual
2013-2;19829620.75;Actual
2013-3;22717069.85;Actual
2013-4;21625385.04;Actual
2013-5;23000152.4;Actual
2013-6;24755406.2;Actual
2013-7;26803105.56;Actual
2013-8;22600217.01;Actual
2013-9;21401265.74;Actual
2013-10;19296578.09;Actual
2013-11;20489773.49;Actual
2013-12;21715706.67;Actual
2014-1;22544458.38;Actual
2014-2;21262413.12;Actual
2014-3;23247168.62;Actual
2014-4;22541987.92;Actual
2014-5;25943046.75;Actual
2014-6;24782178.43;Actual
2014-7;24263117.59;Actual
2014-8;21879988.86;Actual
2014-9;18407263.58;Actual
2014-10;19497571.95;Actual
2014-11;19444753.17;Actual
2014-12;19240384.75;Actual
2015-1;20088529.29;Actual
2015-2;19772333.34;Actual
2015-3;24608406.71;Actual
2015-4;21559729.45;Actual
2015-5;25792074.59;Actual
2015-6;27212464.15;Actual
2015-7;26338477.15;Actual
2015-8;23130626.6;Actual
2015-9;20774415.93;Actual
2015-10;20359980.58;Actual
2015-11;21936906.81;Actual
2015-12;20462899.3;Actual
2016-1;21829060;Existing
2016-2;21146330;Existing
2016-3;23735687;Existing
2016-4;22409515;Existing
2016-5;25621829;Existing
2016-6;26307858;Existing
2016-7;26705093;Existing
2016-8;23440761;Existing
2016-9;20640047;Existing
2016-10;20086270;Existing
2016-11;20858120;Existing
2016-12;21255190;Existing
2016-1;2493697;New
2016-2;2405584;New
2016-3;2879417;New
2016-4;2720393;New
2016-5;3089903;New
2016-6;3139497;New
2016-7;3155160;New
2016-8;2807733;New
2016-9;2482456;New
2016-10;2420097;New
2016-11;2510816;New
2016-12;2480120;New
